类型,ID/标题,发布日期,字数/点赞,浏览量/文章ID,详细内容摘要
万字研报,你我皆为中间人,Tue Sep 22,3885 字,2102331516776759296,《寒战2》里有这么一幕，是李文彬与蔡元琪一段对话，说的是一套耐人寻味的权力逻辑。     按这段对白的意思转述，蔡承认，自己虽然没有委任警务处处长的能力，却有提供人才的能力。如果排队上位（在名单上的人选）的都是自己人，最后委任谁，又有什么分别？ 这番话放进 listing 的生意，也说得通。交易所的...
万字研报,本县的税真就收到了90年后——杜凤治的官债与币圈的权力金融化,Tue Aug 18,6125 字,2089649765810360320,也不知道真假，中国大陆这些年的贪腐案爆出来的数字真的是夸张到让人觉得匪夷所思，离了个大谱。一个县长动不动就是几十亿的贪污受贿。 呼和浩特经济技术开发区原党工委书记李建平，最高人民法院复核确认，他非法占有国有公司资金14.37亿余元，受贿5.77亿余元，另外挪用公款10.55亿余元 。   普通人看到...
万字研报,黑钱的过路费：一百万u黑钱，为什么只能卖九十一万,Fri Aug 07,4913 字,2085731843995774976,先从一个很简单的问题开始。一批有问题的 USDT，在东南亚的地下市场里被人打折收走。面值一百万美元，对方只肯给九十一万。很多人的第一反应是：中间商真黑，一转手就赚九个点。 但你知道么？这九万其实并不是全进了中间商的口袋。 收货的人也怕。他怕这批币哪天被冻，怕自己的账户跟着出事，怕银行突然不收钱，怕上...
万字研报,上币周期进化论：昨日的风，飞不了今天的筝,Mon Feb 16,6214 字,2023302100667564032,如果把加密行业比作一副牙齿，那么上币（listing）在这些年的路径就像是一次“行业正畸”的过程。从 2017 年的杂乱无章到 2025 年的工业化流水盘，市场的每一次token的分配方式，本质上都是对行业的结构性畸形的矫正以及筹码结构的挑战。 在这个过程中，项目方追求顶级流动性的路径，也从早期的“...
实盘推文,2017810547904061597,Sun Feb 01,点赞 11,浏览 1556,我自己归类起来是两个不同的模式 一个是过路费模式 pvp ；一个是增值模式 pve  一个是你来交易 没有外部资金持续流入的情况下，交易所赚的每一分钱手续费，本质上都是场内交易者的本金损耗 这就是典型的“赌场模型”——赌客之间互有胜负，但整体资金池因为抽水而不断减少。  这解释了为什么Crypto行业如此依赖“新叙事”和“新韭菜”。因为如果不拉新人进来（吸引外部流动性），场内的存量资金会被交易所、矿工、项目方慢慢抽干。  另一个是购买显卡是为了创造了全新的商业价值赚取外界的钱，这种模式下，Nvidia赚了钱，客户也赚了钱（或节省了成本），整个蛋糕做大了。  目前web3/crypto就是缺乏“外部性”。大多数Web3项目不仅没帮用户赚到圈外的钱，反而因为高昂的Gas费、上币费用等等，增加了开发者的生产成本。  当然，也不能说问题出在于“收过路费”本身，更多的是在于过了这么多年Web3只有收费站（能赚到钱）
实盘推文,2100181229815648566,Wed Sep 16,点赞 3,浏览 5251,不同的视角看待不同角度的“上币费”（不谈什么腐败/undertable/中间人）  我感觉就有点类似之前西贝的预制菜风波… 角度和定义的不同  对于西贝来说，提前卤好的牛肉，冷冻的西兰花是前置处理，不是预制菜；但对大众来说，只要不是当场做的就是预制菜  其实两边都有道理的，但就是没办法调和  对于交易所来说，合同里确实没有上币费这一明目；  但对项目方来说不管明细是什么…营销费用，空投，管理费用，流动性，抵押金bla bla bla 只要是从我口袋出去的（尤其交易所还规定币的floor price限制，所以发出去的币还得买回来，就是费用），所以对项目方来说这其实就是上币费   这个是基本没办法调和的角度问题 - 技术/合规上，确实没有上币费这一栏，但你上币难道不做活动吸引流量吗？这些预算都是为了让你的币有交易量有活跃度- 可是ho，很多项目方可不是这么想的，他们就觉得这是交易所换着一个花样来跟我收钱而已  一方觉得，我这个钱可是花在你身上的啊，我又不用； 另一方觉得我这个项目需不需要营销难道我不知道吗？还需要你来安排？而且你说是不是每个项目都需要营销费用？你看看meme… 上线之后有营销吗？  交易所有平台币要赋能，有用户要照顾，出事了还要扛风险，保险金亏了要赔钱… 都是商业机构，收点营销费用合情合理  项目方呢？上币是为了赚钱，现在反而搭进去这么多，几百万的营销/流动性，到最后都是亏着出来，成本都不够cover，那你说上来干嘛？所以这也导致收割的方式越来越“创新”（参靠鄙人的合约镰刀系列）  这就陷入了一个三输的境地- 项目方赚不到钱；交易所也赚不到钱；用户被割  也许是时候重新审视这种模式了  交易所的本意是想帮项目方花大预算造势； 项目方收获流量，流动性和价格（大家想一下19-22年的ieo，launchpad/pool）  所以项目方才前赴后继的花钱，撒币；用户才乐此不彼参与.  但这毕竟是ieo时代的黄金坑，这一套的打法在当时确实非常有效，但此一时彼一时，这套打法的边际收益越来越低了，甚至都是负数了  这是时代的演进，也是行业的印记，都是我们的来时路  stock perp，rwa都来了，新的上币模式还远吗？
实盘推文,1998229671050461355,Tue Dec 09,点赞 52,浏览 16351,如果我们用福建生意人的眼光重新审视 2025 年的币圈，会看到这样一幅图景：  这群人（项目方+VC）原本宣称要在乌克兰（高风险新区）建房子（Web3 生态），其实他们根本不在乎房子能不能住人。他们真正做的是：  1. 先在那块地上插个牌子，以此为理由印了一堆“砖头票”（Token）。  2. 找来华尔街的大佬（VC机构）站台，说这砖头票以后能换黄金。  3. 找来一堆群演（工作室）来售楼处连夜排队，制造火爆场面（刷数据）  4. 找来几个大点的台子（交易所），交点保护费（上币费+空投），再开个专场（合约交易）  5. 找来村里的大喇叭（KOL）喊话，说砖头票要涨价了。  6. 最后，利用合约机制把想做空砖头票的人打爆，趁机把手里的废纸（Token）换成了真金白银。  ps：细心的人会看到这与原po有啥区别 pps：不是我们不会，而是老灯真下不去这个手。。。
实盘推文,2014008831664153019,Wed Jan 21,点赞 38,浏览 26397,真的是笑死我啦～ 大家真的以为上币 #meme 是家家酒吗？就是上币组看着领导的面子上的吗？！  come on，这里面都是一组组数据、指标和模型构建出来的体系和框架。  不论审美如何，但是论上币，是否能盈利这个事情，交易所还是专业的。  我坐在电脑前vibe coding都能捣鼓出一个数据模型，你觉得binance是慈善机构吗？okx都是吃干饭的吗？bybit不会看数据吗？  很多时候，拜托不要想当然把你看不懂的东西 = 他人的阴谋论，很多时候很多散户压根儿就撑不到阴谋集团出手的那一刻，自己就歇菜了  回归第一性原理，这就是数学，这就是原理 - 只是你自己下手之前不去研究，或者就是不想承认自己菜而已  我猜有人还会说，你写的这篇文章我看不懂。。你要嘛不看，不然就是看不懂，那为什么还要下去送人头？  图盗得 @heyibinance 的贴文
实盘推文,2100397585609748632,Thu Sep 17,点赞 0,浏览 0,不同的视角看待不同角度的“上币费”（不谈什么腐败/undertable/中间人）  我感觉就有点类似之前西贝的预制菜风波… 角度和定义的不同  对于西贝来说，提前卤好的牛肉，冷冻的西兰花是前置处理，不是预制菜；但对大众来说，只要不是当场做的就是预制菜  其实两边都有道理的，但就是没办法调和  对于交易所来说，合同里确实没有上币费这一明目；  但对项目方来说不管明细是什么…营销费用，空投，管理费用，流动性，抵押金bla bla bla 只要是从我口袋出去的（尤其交易所还规定币的floor price限制，所以发出去的币还得买回来，就是费用），所以对项目方来说这其实就是上币费   这个是基本没办法调和的角度问题 - 技术/合规上，确实没有上币费这一栏，但你上币难道不做活动吸引流量吗？这些预算都是为了让你的币有交易量有活跃度- 可是ho，很多项目方可不是这么想的，他们就觉得这是交易所换着一个花样来跟我收钱而已  一方觉得，我这个钱可是花在你身上的啊，我又不用； 另一方觉得我这个项目需不需要营销难道我不知道吗？还需要你来安排？而且你说是不是每个项目都需要营销费用？你看看meme… 上线之后有营销吗？  交易所有平台币要赋能，有用户要照顾，出事了还要扛风险，保险金亏了要赔钱… 都是商业机构，收点营销费用合情合理  项目方呢？上币是为了赚钱，现在反而搭进去这么多，几百万的营销/流动性，到最后都是亏着出来，成本都不够cover，那你说上来干嘛？所以这也导致收割的方式越来越“创新”（参靠鄙人的合约镰刀系列）  这就陷入了一个三输的境地- 项目方赚不到钱；交易所也赚不到钱；用户被割  也许是时候重新审视这种模式了  交易所的本意是想帮项目方花大预算造势； 项目方收获流量，流动性和价格（大家想一下19-22年的ieo，launchpad/pool）  所以项目方才前赴后继的花钱，撒币；用户才乐此不彼参与.  但这毕竟是ieo时代的黄金坑，这一套的打法在当时确实非常有效，但此一时彼一时，这套打法的边际收益越来越低了，甚至都是负数了  这是时代的演进，也是行业的印记，都是我们的来时路  stock perp，rwa都来了，新的上币模式还远吗？
实盘推文,2100108575087772054,Wed Sep 16,点赞 11,浏览 4087,很多事情其实都是慢慢演进过来的  比如现在的KOL round，就是2017/18年那会儿从advisor 的份额演化过来的产物  当时候ico方兴，行业还在早期，谁都不认识谁，但是都要融资… 除了whitapaper外，那你要怎么增加大家对你的信任感.. 不外乎就是找人站站台 - 保不齐就有人认识，就参与公募了  当然还有一个作用就是- 有人站台，咨询了xxx，代表你至少懂了xxx，就代表你比只有白皮书的人还多了一步，这个时候的advisor一般都是专业人士，律师/技术大拿/教授/vc等等  随着时间推移，大家都不太care advisor- 顾问具体的作用（技术/合规的作用）更在乎募资作用 aka 能帮助融多少钱，这个时期的advisor就是名人/明星/项目创始人/vc  再后来ct盛行，加上crypto vc多如牛毛.. 融资反而不是最难的，难的是上所，而上所又需要ct上的声量，所以advisor的作用换成了ct上的大v（之前是付费推广）  之后上币政策收紧，high fdv low float之风开始，advisor的份额成为了封控对象，既不能一开盘就解锁；而且大v的影响力下降（数量太多了）但是呢？项目方又不想花钱找他们推广，又为了规避交易所规定advisor份额必须锁仓的限制（不这样的话 kol不参与） 想出来了kol round  即kol付费参与打新，属于投资人之列，可以tge当天解锁份额  但是好景不长，这个东西在随后以合约操盘为主的市场环境下又变了，为了更好地控制筹码结构，kol round的份额也需要锁仓了…
